gouvernorat,delegation,superficie,nb_pieces,chambres,salle_de_bains,etat,etage,prix
tunis,Aouina,67,2.0,1,1,Moins d'un an,1,265000.0
tunis,Ain Zaghouan,77,2.0,2,1,Moins d'un an,1,312000.0
tunis,Ariana Ville,240,5.0,4,3,Bon état,1,975000.0
tunis,Ariana Ville,119,3.0,2,1,Nouveau,1,640000.0
tunis,Ariana Ville,77,2.0,1,1,Moins d'un an,1,440000.0
tunis,Ariana Ville,60,2.0,1,1,Bon état,1,340000.0
tunis,El Menzah 7,100,3.0,1,2,Nouveau,1,389000.0
tunis,Ain Zaghouan,195,4.0,3,3,Moins d'un an,1,660000.0
tunis,Ariana Ville,83,2.0,1,1,Moins d'un an,2,445000.0
tunis,Ariana Ville,68,2.0,1,1,Moins d'un an,1,368000.0
tunis,Ariana Ville,129,3.0,2,1,Nouveau,1,709000.0
tunis,Ariana Ville,72,2.0,1,1,1-5 ans,2,320000.0
tunis,Ariana Ville,93,3.0,2,2,Moins d'un an,6,500181.0
tunis,Gammarth,165,4.0,3,2,Nouveau,1,465000.0
tunis,Les Berges Du Lac,100,3.0,2,1,10-20 ans,3,440000.0
tunis,Gammarth,175,4.0,3,2,Nouveau,1,490000.0
tunis,El Menzah 7,129,4.0,3,2,Nouveau,1,520000.0
tunis,Ariana Ville,125,4.0,3,2,Moins d'un an,1,429000.0
tunis,Ain Zaghouan,117,3.0,2,1,Moins d'un an,2,386000.0
tunis,Ariana Ville,300,4.0,4,3,Nouveau,1,1800000.0
tunis,Ariana Ville,165,4.0,3,2,5-10 ans,2,680000.0
tunis,Ain Zaghouan,186,4.0,3,3,Moins d'un an,1,720000.0
tunis,Ariana Ville,102,3.0,2,2,Moins d'un an,1,349000.0
tunis,Ariana Ville,110,3.0,2,2,Moins d'un an,8,589111.0
tunis,El Menzah 7,145,4.0,3,2,Nouveau,1,555000.0
tunis,El Manar,140,4.0,3,2,20-30 ans,1,310000.0
tunis,Ain Zaghouan,269,4.0,3,2,Moins d'un an,3,790000.0
tunis,Ariana Ville,175,4.0,3,2,Moins d'un an,1,780000.0
tunis,Ariana Ville,83,3.0,2,1,Moins d'un an,1,277000.0
tunis,Ariana Ville,117,5.0,2,2,Nouveau,2,641000.0
tunis,Ariana Ville,151,3.0,3,3,Nouveau,1,798000.0
tunis,Ain Zaghouan,131,3.0,2,1,1-5 ans,1,350000.0
tunis,Ariana Ville,105,3.0,2,1,Moins d'un an,2,420000.0
tunis,Ariana Ville,60,1.0,1,1,Bon état,1,320000.0
tunis,Ain Zaghouan,144,3.0,2,1,5-10 ans,2,570000.0
tunis,Ariana Ville,110,3.0,2,2,Moins d'un an,1,364000.0
tunis,Ariana Ville,164,4.0,3,4,Nouveau,2,897000.0
tunis,Ariana Ville,140,4.0,3,2,Moins d'un an,7,741000.0
tunis,Ariana Ville,110,3.0,2,2,Moins d'un an,2,607000.0
tunis,Ariana Ville,140,4.0,3,2,10-20 ans,1,495000.0
tunis,Gammarth,152,3.0,2,2,1-5 ans,2,350000.0
tunis,Ariana Ville,150,4.0,3,3,Nouveau,2,735000.0
tunis,Les Berges Du Lac,160,5.0,4,1,Bon état,1,570000.0
tunis,Ain Zaghouan,72,2.0,1,1,Moins d'un an,1,457000.0
tunis,Ain Zaghouan,167,4.0,4,2,Moins d'un an,1,740000.0
tunis,Ain Zaghouan,205,4.0,3,3,Nouveau,1,1076000.0
tunis,Ariana Ville,72,2.0,1,1,1-5 ans,1,305000.0
tunis,Ariana Ville,115,4.0,3,2,Bon état,1,1500000.0
tunis,Bab El Khadra,80,4.0,3,1,Bon état,1,130000.0
tunis,Ariana Ville,72,2.0,1,1,10-20 ans,1,320000.0
tunis,Aouina,120,2.0,2,1,Nouveau,1,408646.0
tunis,El Ouardia,170,2.0,2,1,nan,1,480000.0
tunis,Ain Zaghouan,71,2.0,1,2,Nouveau,1,340000.0
tunis,El Ouardia,63,2.0,2,1,nan,1,125000.0
tunis,El Ouardia,70,2.0,2,1,nan,1,175000.0
tunis,Aouina,90,3.0,2,1,Bon état,1,240000.0
tunis,Ariana Ville,103,3.0,2,1,Nouveau,1,571650.0
tunis,El Ouardia,140,2.0,2,1,nan,1,280000.0
tunis,Ariana Ville,117,3.0,2,2,Nouveau,1,671000.0
tunis,Ariana Ville,232,4.0,3,4,Nouveau,2,1350000.0
tunis,Aouina,95,3.0,2,1,10-20 ans,5,220000.0
tunis,Ariana Ville,217,5.0,4,3,Nouveau,1,1193500.0
tunis,Aouina,101,3.0,2,1,5-10 ans,5,288000.0
tunis,Ariana Ville,139,3.0,2,2,Moins d'un an,1,764500.0
tunis,La Goulette,65,2.0,2,1,nan,1,260000.0
tunis,Ain Zaghouan,70,1.0,1,1,Nouveau,1,370000.0
tunis,Ariana Ville,168,4.0,3,3,Nouveau,1,924000.0
tunis,Gammarth,206,4.0,3,2,Nouveau,1,780000.0
tunis,Ain Zaghouan,170,4.0,3,3,Moins d'un an,2,740000.0
tunis,Gammarth,108,2.0,2,1,nan,1,210000.0
tunis,Ariana Ville,160,6.0,2,2,1-5 ans,1,490000.0
tunis,Ariana Ville,219,4.0,3,2,Moins d'un an,1,1095000.0
tunis,Ariana Ville,191,2.0,2,1,nan,1,700000.0
tunis,Gammarth,134,3.0,2,2,Moins d'un an,2,295000.0
tunis,Ain Zaghouan,173,4.0,3,3,5-10 ans,6,690000.0
tunis,Ariana Ville,300,6.0,5,5,Moins d'un an,1,1600000.0
tunis,El Menzah 7,192,4.0,3,2,Moins d'un an,3,773000.0
tunis,Ariana Ville,300,4.0,2,1,nan,1,1800000.0
tunis,Aouina,70,2.0,1,1,5-10 ans,6,180000.0
tunis,Ariana Ville,69,2.0,1,1,Nouveau,1,443000.0
tunis,El Menzah 7,132,2.0,2,1,nan,1,255000.0
tunis,Ariana Ville,135,4.0,2,1,nan,1,675000.0
tunis,Sidi Hassine,124,6.0,4,1,Moins d'un an,5,196000.0
tunis,Aouina,105,2.0,2,1,10-20 ans,2,260000.0
tunis,Ariana Ville,181,4.0,3,2,Moins d'un an,3,785000.0
tunis,Aouina,118,3.0,2,2,Moins d'un an,2,401000.0
tunis,Ariana Ville,140,4.0,3,4,Moins d'un an,1,650000.0
tunis,Ain Zaghouan,125,3.0,2,2,10-20 ans,1,240000.0
tunis,Les Berges Du Lac,296,4.0,3,3,5-10 ans,6,900000.0
tunis,Aouina,157,5.0,4,2,10-20 ans,2,330000.0
tunis,Aouina,71,2.0,1,1,Moins d'un an,1,239700.0
tunis,Aouina,122,3.0,2,1,5-10 ans,2,310000.0
tunis,Aouina,100,1.0,2,1,10-20 ans,6,240000.0
tunis,Ariana Ville,181,4.0,3,1,Nouveau,1,780000.0
tunis,Ariana Ville,132,3.0,2,1,5-10 ans,1,350000.0
tunis,Aouina,118,2.0,1,1,Moins d'un an,1,327000.0
tunis,Montfleury,170,3.0,3,1,Bon état,1,240000.0
tunis,Ain Zaghouan,58,1.0,1,1,1-5 ans,1,183000.0
tunis,Ariana Ville,118,3.0,2,2,Moins d'un an,1,600000.0
tunis,Aouina,115,3.0,2,1,Bon état,2,340000.0
tunis,Aouina,77,3.0,2,1,10-20 ans,4,245000.0
tunis,La Goulette,195,7.0,4,1,20-30 ans,7,420000.0
tunis,La Goulette,300,2.0,2,1,nan,1,200000.0
tunis,Aouina,97,2.0,2,1,Nouveau,1,345000.0
tunis,Aouina,100,4.0,3,1,20-30 ans,2,280000.0
tunis,Ariana Ville,151,4.0,3,3,Nouveau,1,797000.0
tunis,Ariana Ville,239,4.0,4,3,Nouveau,1,750000.0
tunis,Ain Zaghouan,106,4.0,3,1,Bon état,1,280000.0
tunis,Cite El Khadra,152,4.0,3,2,nan,1,520000.0
tunis,Ain Zaghouan,178,4.0,3,3,Moins d'un an,1,1126000.0
tunis,Le Bardo,70,2.0,2,1,10-20 ans,1,150000.0
tunis,Ariana Ville,189,2.0,4,1,Nouveau,1,930000.0
tunis,Ariana Ville,65,2.0,2,1,nan,1,400000.0
tunis,Bab El Khadra,85,3.0,2,1,Bon état,3,220000.0
tunis,Ariana Ville,154,2.0,3,2,Bon état,1,593000.0
tunis,Ariana Ville,252,3.0,4,2,Nouveau,1,947300.0
tunis,Bab El Khadra,180,4.0,3,1,Bon état,3,190000.0
tunis,Ariana Ville,204,4.0,2,1,nan,1,780000.0
tunis,El Manar,300,12.0,9,5,10-20 ans,1,1800000.0
tunis,Ariana Ville,123,3.0,2,2,Nouveau,1,553500.0
tunis,Gammarth,180,4.0,3,2,Nouveau,1,915000.0
tunis,Ain Zaghouan,236,4.0,4,1,Nouveau,1,1100000.0
tunis,Ain Zaghouan,45,1.0,1,1,Moins d'un an,2,245000.0
tunis,Aouina,110,3.0,2,2,Moins d'un an,1,360000.0
tunis,El Menzah 7,128,2.0,2,1,nan,1,430000.0
tunis,Les Berges Du Lac,244,3.0,2,1,nan,1,1060000.0
tunis,Montfleury,113,3.0,2,1,5-10 ans,4,200000.0
tunis,Ariana Ville,125,3.0,2,1,Nouveau,1,365000.0
tunis,Ariana Ville,125,3.0,2,1,Nouveau,1,405000.0
tunis,Ain Zaghouan,43,1.0,1,1,Nouveau,1,245000.0
tunis,Aouina,90,3.0,2,2,10-20 ans,2,320000.0
tunis,Ariana Ville,98,3.0,2,1,Bon état,1,185000.0
tunis,El Ouardia,110,3.0,2,1,Bon état,1,250000.0
tunis,El Manar,180,7.0,4,1,20-30 ans,1,450000.0
tunis,Ariana Ville,120,6.0,2,1,Bon état,2,170000.0
tunis,Ain Zaghouan,172,4.0,3,2,Nouveau,1,750000.0
tunis,Ariana Ville,112,3.0,2,1,Bon état,1,250000.0
tunis,El Ouardia,95,3.0,3,1,30-50 ans,1,240000.0
tunis,Ariana Ville,72,2.0,1,1,Bon état,1,320000.0
tunis,Gammarth,300,5.0,4,2,Bon état,1,3000000.0
tunis,Aouina,168,4.0,3,2,10-20 ans,4,350000.0
tunis,Ain Zaghouan,110,2.0,2,1,Nouveau,1,500000.0
tunis,Gammarth,300,10.0,6,3,10-20 ans,1,1100000.0
tunis,Aouina,108,3.0,2,1,Moins d'un an,1,524000.0
tunis,Aouina,75,2.0,1,1,Moins d'un an,4,304000.0
tunis,Aouina,174,4.0,3,3,Moins d'un an,3,593000.0
tunis,Aouina,165,4.0,3,3,Moins d'un an,1,561000.0
tunis,Cite El Khadra,94,1.0,2,1,Nouveau,1,433600.0
tunis,El Omrane,93,1.0,4,1,Bon état,1,120000.0
tunis,Les Berges Du Lac,200,4.0,3,2,5-10 ans,3,790000.0
tunis,Cite El Khadra,57,2.0,1,1,Nouveau,1,338235.0
tunis,Ariana Ville,275,4.0,3,2,Bon état,6,990000.0
tunis,Ariana Ville,120,2.0,2,1,nan,1,510000.0
tunis,Ariana Ville,174,3.0,2,1,nan,1,982000.0
tunis,Aouina,185,4.0,3,3,Bon état,1,460000.0
tunis,Cite El Khadra,122,2.0,2,1,nan,1,400000.0
tunis,Ariana Ville,90,3.0,2,1,Bon état,1,490000.0
tunis,Ariana Ville,199,2.0,2,1,nan,1,830000.0
tunis,Ain Zaghouan,153,4.0,3,2,Nouveau,1,430000.0
tunis,Ain Zaghouan,62,2.0,1,1,Moins d'un an,1,345000.0
tunis,Les Berges Du Lac,70,3.0,1,1,20-30 ans,1,300000.0
tunis,Ain Zaghouan,63,1.0,1,1,Nouveau,3,345000.0
tunis,Les Berges Du Lac,120,3.0,2,1,5-10 ans,7,580000.0
tunis,Ain Zaghouan,140,4.0,3,2,Moins d'un an,5,420000.0
tunis,El Manar,114,3.0,2,1,20-30 ans,1,330000.0
tunis,Aouina,72,2.0,1,1,Moins d'un an,4,251850.0
tunis,Ariana Ville,124,3.0,2,2,Moins d'un an,4,420000.0
tunis,Aouina,100,3.0,2,2,Moins d'un an,5,315000.0
tunis,Ariana Ville,43,1.0,1,1,Nouveau,1,265000.0
tunis,Cite El Khadra,84,2.0,2,1,nan,1,190000.0
tunis,Cite El Khadra,103,2.0,2,1,nan,1,470000.0
tunis,Cite El Khadra,88,2.0,2,1,nan,1,210000.0
tunis,Cite El Khadra,173,2.0,2,1,nan,1,325000.0
tunis,Aouina,130,7.0,3,2,Nouveau,7,313000.0
tunis,Ariana Ville,108,2.0,2,1,Nouveau,1,540000.0
tunis,El Menzah 7,128,4.0,2,2,Nouveau,1,445000.0
tunis,Ariana Ville,210,4.0,3,2,Bon état,1,320000.0
tunis,Bab Bhar,117,4.0,4,1,Bon état,3,210000.0
tunis,La Goulette,178,4.0,3,3,Nouveau,1,680000.0
tunis,Cite El Khadra,146,4.0,3,2,Bon état,1,580000.0
tunis,Ain Zaghouan,173,4.0,3,2,Bon état,4,650000.0
tunis,Ariana Ville,50,2.0,1,1,Bon état,1,440000.0
tunis,Gammarth,176,4.0,3,2,Moins d'un an,1,420000.0
tunis,Ariana Ville,110,4.0,3,1,Bon état,1,300000.0
tunis,Aouina,92,2.0,1,1,Moins d'un an,5,340000.0
tunis,Les Berges Du Lac,260,5.0,4,2,20-30 ans,3,1500000.0
tunis,Aouina,168,4.0,3,2,Moins d'un an,1,638000.0
tunis,Aouina,188,4.0,3,2,Moins d'un an,1,750000.0
tunis,Aouina,290,4.0,3,2,Moins d'un an,1,855000.0
tunis,Aouina,135,3.0,2,2,Moins d'un an,4,540000.0
tunis,El Menzah 7,152,4.0,3,2,5-10 ans,1,520000.0
tunis,Ariana Ville,225,5.0,3,3,Bon état,1,770000.0
tunis,Ariana Ville,120,4.0,3,2,Bon état,1,170000.0
tunis,El Manar,115,4.0,3,2,Bon état,2,290000.0
tunis,Ain Zaghouan,146,4.0,3,2,1-5 ans,4,470000.0
tunis,Aouina,95,3.0,2,1,Bon état,1,270000.0
tunis,Cite El Khadra,210,5.0,4,2,1-5 ans,3,380000.0
tunis,Cite El Khadra,137,3.0,2,2,Bon état,1,380000.0
tunis,Ain Zaghouan,72,2.0,1,2,Moins d'un an,1,360000.0
tunis,Ariana Ville,141,3.0,2,2,Nouveau,1,620000.0
tunis,Montplaisir,78,2.0,1,1,Nouveau,1,195980.0
tunis,Ariana Ville,168,4.0,3,3,Nouveau,1,756000.0
tunis,Ariana Ville,109,1.0,2,1,1-5 ans,4,300000.0
tunis,Aouina,97,3.0,2,1,Bon état,1,270000.0
tunis,Ariana Ville,126,2.0,2,1,Nouveau,1,698000.0
tunis,Ariana Ville,224,3.0,2,1,nan,1,850000.0
tunis,Ariana Ville,86,2.0,1,1,Nouveau,1,413000.0
tunis,Cite El Khadra,115,3.0,2,2,Bon état,1,350000.0
tunis,El Menzah 7,300,3.0,6,3,10-20 ans,1,3100000.0
tunis,El Ouardia,220,2.0,2,1,nan,1,330000.0
tunis,Ariana Ville,100,2.0,2,1,nan,1,250000.0
tunis,Gammarth,300,5.0,4,3,Bon état,1,1700000.0
tunis,Ariana Ville,150,3.0,3,2,Nouveau,1,695000.0
tunis,El Ouardia,115,2.0,2,1,nan,1,160000.0
tunis,Ariana Ville,182,4.0,3,2,5-10 ans,5,700000.0
tunis,Ariana Ville,95,3.0,2,1,Bon état,1,210000.0
tunis,Ain Zaghouan,190,5.0,4,2,Moins d'un an,1,850000.0
tunis,Montplaisir,101,4.0,1,1,Nouveau,1,252250.0
tunis,Aouina,111,3.0,2,2,Moins d'un an,2,355968.0
tunis,Ain Zaghouan,79,1.0,1,1,Nouveau,1,385000.0
tunis,Ariana Ville,260,5.0,3,3,Moins d'un an,1,1450000.0
tunis,Les Berges Du Lac,300,6.0,4,2,10-20 ans,7,1750000.0
tunis,Ain Zaghouan,30,2.0,1,1,Nouveau,1,395000.0
tunis,Ariana Ville,174,4.0,3,3,Bon état,1,700000.0
tunis,Ariana Ville,86,2.0,2,1,Bon état,1,430000.0
tunis,Aouina,173,3.0,2,1,Moins d'un an,1,540000.0
tunis,Ain Zaghouan,78,2.0,1,1,Moins d'un an,1,429000.0
tunis,Gammarth,132,2.0,2,1,nan,1,550000.0
tunis,Aouina,125,4.0,3,1,1-5 ans,1,370000.0
tunis,Le Bardo,76,1.0,2,1,10-20 ans,1,120000.0
tunis,Aouina,250,4.0,3,2,Moins d'un an,1,1050000.0
tunis,Ariana Ville,86,3.0,2,1,Bon état,1,320000.0
tunis,Ariana Ville,183,2.0,2,1,nan,1,720000.0
tunis,Ariana Ville,104,2.0,2,1,nan,1,325000.0
tunis,Gammarth,300,5.0,4,4,Nouveau,1,1350000.0
tunis,Aouina,132,5.0,3,2,Moins d'un an,5,380000.0
tunis,Ain Zaghouan,130,3.0,2,2,Moins d'un an,3,490000.0
tunis,Ariana Ville,103,4.0,3,2,Bon état,1,425000.0
tunis,Aouina,130,3.0,3,1,5-10 ans,3,360000.0
tunis,Bab Bhar,97,3.0,2,1,Bon état,1,175000.0
tunis,Ariana Ville,123,2.0,2,2,Moins d'un an,4,578000.0
tunis,Ariana Ville,203,2.0,2,3,Moins d'un an,1,857000.0
tunis,El Menzah 7,120,3.0,2,1,Moins d'un an,1,420000.0
tunis,Ariana Ville,130,2.0,2,1,nan,1,780000.0
tunis,Sijoumi,100,4.0,3,1,1-5 ans,3,135000.0
tunis,Ariana Ville,105,1.0,1,1,Moins d'un an,3,442000.0
tunis,Bab Bhar,50,3.0,2,1,Bon état,1,100000.0
tunis,Cite El Khadra,127,3.0,2,1,1-5 ans,1,470000.0
tunis,Bab Bhar,104,4.0,3,1,Bon état,1,180000.0
tunis,Bab El Khadra,90,3.0,2,1,10-20 ans,2,165000.0
tunis,Ariana Ville,147,2.0,2,1,nan,1,335000.0
tunis,Ariana Ville,274,6.0,4,5,Nouveau,1,1800000.0
tunis,Ariana Ville,126,3.0,2,2,Moins d'un an,2,605000.0
tunis,Ariana Ville,208,3.0,2,2,Nouveau,1,1050000.0
tunis,Gammarth,242,3.0,2,1,Nouveau,1,693000.0
tunis,Ariana Ville,176,1.0,3,2,1-5 ans,1,275000.0
tunis,Ariana Ville,112,2.0,2,1,nan,1,550000.0
tunis,Ain Zaghouan,140,4.0,3,1,10-20 ans,2,320000.0
tunis,Ariana Ville,150,4.0,3,3,Moins d'un an,1,695000.0
tunis,Ariana Ville,190,1.0,2,1,nan,1,1080000.0
tunis,El Menzah 7,110,2.0,2,1,nan,1,195000.0
tunis,Gammarth,243,3.0,4,1,Nouveau,1,910000.0
tunis,Le Bardo,110,4.0,3,1,Bon état,2,210000.0
tunis,Les Berges Du Lac,208,6.0,4,3,10-20 ans,2,650000.0
tunis,Aouina,144,4.0,3,3,Moins d'un an,5,482240.0
tunis,Aouina,61,2.0,1,1,Moins d'un an,5,261222.0
tunis,Ariana Ville,100,3.0,2,1,1-5 ans,2,450000.0
tunis,Ariana Ville,160,4.0,3,2,Bon état,1,550000.0
tunis,Ariana Ville,135,3.0,3,2,Moins d'un an,2,628000.0
tunis,Les Berges Du Lac,220,4.0,3,3,1-5 ans,2,1300000.0
tunis,Bab Bhar,130,5.0,5,1,Nouveau,1,245000.0
tunis,El Ouardia,95,4.0,3,1,Nouveau,1,275000.0
tunis,Aouina,220,3.0,2,2,Moins d'un an,1,430000.0
tunis,Ain Zaghouan,175,4.0,3,2,Nouveau,1,620000.0
tunis,Aouina,300,4.0,3,3,Moins d'un an,1,750000.0
tunis,La Goulette,142,4.0,3,2,Bon état,1,330000.0
tunis,Aouina,144,3.0,2,1,Moins d'un an,1,450000.0
tunis,Aouina,125,4.0,3,2,Moins d'un an,1,450000.0
tunis,Aouina,103,3.0,2,2,Moins d'un an,1,319000.0
tunis,Ariana Ville,84,2.0,2,1,nan,1,380000.0
tunis,Ariana Ville,112,1.0,2,1,Bon état,1,240000.0
tunis,Ariana Ville,120,3.0,2,1,Nouveau,1,400000.0
tunis,Aouina,156,5.0,4,1,Bon état,1,319000.0
tunis,Ain Zaghouan,144,5.0,4,3,Bon état,1,580000.0
tunis,Les Berges Du Lac,77,4.0,3,1,10-20 ans,1,280000.0
tunis,Aouina,108,3.0,2,2,Nouveau,3,368500.0
tunis,Ariana Ville,135,3.0,2,2,1-5 ans,1,295000.0
tunis,Ariana Ville,76,2.0,1,1,Nouveau,1,435000.0
tunis,Ain Zaghouan,65,2.0,1,1,5-10 ans,1,300000.0
tunis,Ain Zaghouan,135,2.0,1,1,nan,1,521000.0
tunis,Gammarth,295,4.0,3,2,1-5 ans,1,2400000.0
tunis,Ain Zaghouan,122,2.0,1,1,nan,1,455000.0
tunis,Ain Zaghouan,123,2.0,1,1,nan,1,477000.0
tunis,Ariana Ville,165,3.0,3,2,10-20 ans,1,800000.0
tunis,El Ouardia,300,5.0,4,3,1-5 ans,3,850000.0
tunis,Ain Zaghouan,300,13.0,12,4,À rénover,1,900000.0
tunis,Les Berges Du Lac,144,3.0,2,2,5-10 ans,4,550000.0
tunis,Ariana Ville,183,3.0,3,2,Bon état,1,880000.0
tunis,Le Bardo,58,2.0,1,1,Bon état,1,100000.0
tunis,Gammarth,128,4.0,3,3,1-5 ans,2,590000.0
tunis,Gammarth,150,3.0,2,2,Moins d'un an,1,950000.0
tunis,Ariana Ville,100,3.0,2,1,Bon état,1,100000.0
tunis,Ain Zaghouan,253,5.0,3,3,Nouveau,1,899079.0
tunis,Les Berges Du Lac,200,4.0,3,2,Nouveau,1,1100000.0
tunis,Ariana Ville,165,4.0,3,1,nan,1,810000.0
tunis,Les Berges Du Lac,267,4.0,3,2,Nouveau,1,1874000.0
tunis,Ariana Ville,250,4.0,3,2,Nouveau,1,750000.0
tunis,Ariana Ville,300,5.0,4,2,Nouveau,1,1250000.0
tunis,Ain Zaghouan,120,3.0,2,1,5-10 ans,1,390000.0
tunis,Les Berges Du Lac,262,4.0,3,1,Nouveau,1,1972000.0
tunis,Aouina,85,3.0,2,1,Bon état,1,220000.0
tunis,Ariana Ville,110,3.0,2,1,Bon état,1,380000.0
tunis,Ariana Ville,192,4.0,3,1,Bon état,1,350000.0
tunis,Aouina,138,4.0,3,2,10-20 ans,3,335000.0
tunis,Ain Zaghouan,185,4.0,3,3,1-5 ans,7,760000.0
tunis,Ariana Ville,150,3.0,2,2,Nouveau,1,560000.0
tunis,Aouina,65,2.0,1,1,Moins d'un an,1,234000.0
tunis,Aouina,60,2.0,1,1,Moins d'un an,1,229000.0
tunis,Aouina,120,4.0,3,3,5-10 ans,1,390000.0
tunis,Ariana Ville,200,4.0,2,1,nan,1,950000.0
tunis,Ariana Ville,125,2.0,3,1,Nouveau,1,590000.0
tunis,Aouina,101,4.0,3,2,10-20 ans,1,330000.0
tunis,El Ouardia,200,3.0,2,1,Bon état,1,550000.0
tunis,Aouina,140,3.0,4,1,Nouveau,1,533165.0
tunis,Ain Zaghouan,182,5.0,4,3,Bon état,1,620000.0
tunis,Ariana Ville,146,5.0,2,1,nan,1,530000.0
tunis,Ariana Ville,154,3.0,2,3,Moins d'un an,1,1110000.0
tunis,Ariana Ville,221,3.0,3,3,Moins d'un an,1,883000.0
tunis,Ariana Ville,202,4.0,3,4,Moins d'un an,2,1342000.0
tunis,Les Berges Du Lac,225,4.0,3,2,Nouveau,1,1485000.0
tunis,Ain Zaghouan,265,5.0,4,3,Moins d'un an,1,982000.0
tunis,Les Berges Du Lac,105,3.0,2,1,Bon état,1,460000.0
tunis,Ariana Ville,102,3.0,2,1,1-5 ans,5,390000.0
tunis,Ariana Ville,273,5.0,4,4,Nouveau,1,1800000.0
tunis,Ariana Ville,110,3.0,2,1,5-10 ans,1,450000.0
tunis,Ariana Ville,150,4.0,3,2,Nouveau,1,695000.0
tunis,Ariana Ville,172,4.0,3,2,nan,1,855000.0
tunis,Aouina,200,4.0,3,2,10-20 ans,1,360000.0
tunis,Ariana Ville,100,2.0,1,1,Bon état,1,100000.0
tunis,Gammarth,85,2.0,2,1,nan,1,340000.0
tunis,Ariana Ville,181,4.0,3,2,Nouveau,1,780000.0
tunis,Ariana Ville,120,1.0,2,2,1-5 ans,4,480000.0
tunis,Ariana Ville,67,1.0,1,1,1-5 ans,7,276000.0
tunis,Ain Zaghouan,124,3.0,2,1,Nouveau,1,477000.0
tunis,Aouina,120,3.0,2,1,Nouveau,1,377000.0
tunis,Ain Zaghouan,131,4.0,3,2,Nouveau,1,490000.0
tunis,Le Bardo,101,2.0,2,1,nan,1,295000.0
tunis,Le Bardo,107,2.0,2,1,nan,1,240000.0
tunis,Ain Zaghouan,112,2.0,2,2,Nouveau,1,380000.0
tunis,Ariana Ville,111,3.0,2,2,Nouveau,1,500000.0
tunis,Aouina,300,3.0,2,1,Nouveau,1,470000.0
tunis,Ain Zaghouan,61,1.0,2,1,Nouveau,1,212000.0
tunis,Ariana Ville,126,3.0,2,2,Nouveau,1,685000.0
tunis,Ain Zaghouan,155,5.0,4,3,1-5 ans,7,650000.0
tunis,Ain Zaghouan,130,3.0,2,1,À rénover,1,400000.0
tunis,El Ouardia,170,2.0,3,2,10-20 ans,2,315000.0
tunis,Ain Zaghouan,122,3.0,2,3,Moins d'un an,1,455000.0
tunis,Aouina,123,3.0,2,2,1-5 ans,6,340000.0
tunis,Aouina,120,3.0,2,1,Moins d'un an,3,400000.0
tunis,Aouina,145,5.0,4,2,Bon état,1,380000.0
tunis,Gammarth,200,4.0,4,3,Bon état,1,1250000.0
tunis,Cite El Khadra,110,4.0,2,1,20-30 ans,3,320000.0
tunis,Ariana Ville,111,3.0,2,2,Moins d'un an,1,500000.0
tunis,La Goulette,200,5.0,4,3,Nouveau,1,700000.0
tunis,Ariana Ville,100,3.0,2,1,Bon état,1,120000.0
tunis,Ain Zaghouan,84,2.0,1,1,Bon état,1,210000.0
tunis,Ain Zaghouan,70,2.0,1,1,Nouveau,1,256000.0
tunis,El Ouardia,99,2.0,2,1,nan,1,205000.0
tunis,Ariana Ville,39,2.0,2,1,nan,1,195000.0
tunis,Cite El Khadra,93,2.0,2,1,nan,1,180000.0
tunis,Ariana Ville,220,2.0,2,1,nan,1,1100000.0
tunis,Ain Zaghouan,147,4.0,3,2,Bon état,1,425000.0
tunis,Montfleury,185,4.0,3,2,Moins d'un an,1,550000.0
tunis,Bab Bhar,81,3.0,2,1,À rénover,1,115000.0
tunis,Ain Zaghouan,110,2.0,1,1,nan,1,407000.0
tunis,Ain Zaghouan,131,1.0,2,3,Nouveau,1,486000.0
tunis,Ain Zaghouan,131,2.0,1,1,nan,1,486000.0
tunis,Ain Zaghouan,151,3.0,2,1,Moins d'un an,1,505000.0
tunis,Ain Zaghouan,132,2.0,1,1,nan,1,493000.0
tunis,Ain Zaghouan,152,3.0,2,1,Nouveau,1,501000.0
tunis,Gammarth,189,1.0,2,1,nan,1,825000.0
tunis,Ain Zaghouan,110,3.0,2,2,Moins d'un an,4,410000.0
tunis,Ain Zaghouan,132,3.0,2,2,Nouveau,1,450000.0
tunis,Les Berges Du Lac,230,1.0,2,1,nan,1,980000.0
tunis,La Goulette,110,2.0,2,1,Nouveau,1,300000.0
tunis,Aouina,100,3.0,2,1,5-10 ans,5,210000.0
tunis,Les Berges Du Lac,69,2.0,1,1,Moins d'un an,1,466690.0
tunis,Ariana Ville,220,4.0,3,2,nan,1,760000.0
tunis,Aouina,154,4.0,3,1,Nouveau,1,340000.0
tunis,Ariana Ville,150,4.0,3,1,Bon état,1,220000.0
tunis,Montfleury,120,3.0,2,1,Bon état,1,250000.0
tunis,Les Berges Du Lac,236,2.0,2,1,nan,1,1100000.0
tunis,Ariana Ville,272,4.0,2,1,nan,1,980000.0
tunis,Ariana Ville,69,1.0,2,1,nan,1,443000.0
tunis,Ariana Ville,150,4.0,3,2,10-20 ans,3,1250000.0
tunis,Gammarth,112,3.0,1,1,1-5 ans,1,800000.0
tunis,Ariana Ville,202,5.0,4,3,1-5 ans,1,980000.0
tunis,Ariana Ville,75,2.0,1,1,nan,1,370000.0
tunis,Ariana Ville,125,3.0,2,1,Nouveau,1,590000.0
