gouvernorat,delegation,superficie,nb_pieces,chambres,salle_de_bains,etat,etage,prix
tunis,Ariana Ville,103,3.0,2,1,Bon état,1,572000.0
tunis,Les Berges Du Lac,300,4.0,3,2,Nouveau,1,1560000.0
tunis,Ain Zaghouan,182,4.0,3,3,Nouveau,1,970000.0
tunis,Bab Bhar,90,3.0,3,1,1-5 ans,3,320000.0
tunis,Ain Zaghouan,85,2.0,2,1,Nouveau,1,313000.0
tunis,Gammarth,166,4.0,3,2,Nouveau,1,400000.0
tunis,Ariana Ville,120,3.0,2,2,Nouveau,1,600000.0
tunis,Cite El Khadra,198,4.0,3,2,10-20 ans,1,750000.0
tunis,Aouina,89,3.0,2,1,Nouveau,1,338950.0
tunis,Ariana Ville,118,3.0,2,2,Nouveau,1,547000.0
tunis,Aouina,116,3.0,2,1,1-5 ans,1,345000.0
tunis,Ain Zaghouan,70,1.0,1,1,Nouveau,1,260000.0
tunis,Ariana Ville,134,4.0,3,2,Nouveau,1,459000.0
tunis,Ariana Ville,175,4.0,3,3,Bon état,1,975000.0
tunis,Aouina,75,2.0,1,1,Moins d'un an,1,250000.0
tunis,Ariana Ville,82,2.0,3,1,Nouveau,1,450000.0
tunis,Ariana Ville,110,3.0,2,1,Nouveau,1,480000.0
tunis,Aouina,132,4.0,3,1,Nouveau,1,415000.0
tunis,El Omrane,179,4.0,3,3,Bon état,1,550000.0
tunis,Ariana Ville,55,2.0,1,1,Bon état,1,385000.0
tunis,Hrairia,85,3.0,2,1,5-10 ans,1,135000.0
tunis,Aouina,75,2.0,1,1,Bon état,1,175000.0
tunis,El Omrane,75,5.0,3,1,Bon état,1,100000.0
tunis,Ariana Ville,93,3.0,2,1,Nouveau,1,380000.0
tunis,Ariana Ville,183,4.0,3,1,1-5 ans,1,850000.0
tunis,Les Berges Du Lac,100,4.0,2,1,20-30 ans,2,415000.0
tunis,Ariana Ville,128,4.0,3,2,Bon état,1,350000.0
tunis,Aouina,107,3.0,2,1,10-20 ans,2,230000.0
tunis,Aouina,100,3.0,2,1,10-20 ans,2,270000.0
tunis,El Menzah 7,110,4.0,4,2,À rénover,3,220000.0
tunis,Aouina,153,4.0,3,1,Nouveau,5,390000.0
tunis,Ain Zaghouan,170,4.0,3,2,Nouveau,1,1126000.0
tunis,Les Berges Du Lac,142,3.0,2,2,Nouveau,8,784000.0
tunis,Ain Zaghouan,166,3.0,2,2,Nouveau,1,632000.0
tunis,Bab Bhar,178,4.0,3,1,Bon état,1,500000.0
tunis,El Ouardia,154,4.0,4,1,Nouveau,1,300000.0
tunis,Bab Bhar,120,4.0,3,1,Bon état,1,295000.0
tunis,Gammarth,180,4.0,3,2,Bon état,1,660000.0
tunis,Aouina,200,4.0,3,2,Bon état,1,520000.0
tunis,Ariana Ville,300,5.0,4,2,20-30 ans,1,850000.0
tunis,Ariana Ville,121,3.0,2,1,1-5 ans,1,550000.0
tunis,Ariana Ville,124,3.0,2,2,Moins d'un an,3,590000.0
tunis,Ariana Ville,222,2.0,3,3,Bon état,1,1500000.0
tunis,Ain Zaghouan,159,4.0,3,3,Moins d'un an,5,507000.0
tunis,Ain Zaghouan,74,2.0,1,1,Moins d'un an,4,259000.0
tunis,Ain Zaghouan,182,4.0,3,3,Moins d'un an,2,600000.0
tunis,Ariana Ville,118,2.0,2,1,nan,1,480000.0
tunis,Ariana Ville,158,4.0,3,3,1-5 ans,2,720000.0
tunis,Ariana Ville,70,1.0,1,1,Nouveau,1,226000.0
tunis,Aouina,128,4.0,4,1,Nouveau,1,360000.0
tunis,Gammarth,150,3.0,2,1,1-5 ans,1,930000.0
tunis,Aouina,154,4.0,3,2,5-10 ans,1,370000.0
tunis,Les Berges Du Lac,289,4.0,3,3,Bon état,1,1445000.0
tunis,Ariana Ville,67,2.0,1,1,Bon état,1,280000.0
tunis,Ain Zaghouan,118,3.0,2,2,Moins d'un an,3,389000.0
tunis,Les Berges Du Lac,194,3.0,3,1,Nouveau,1,849000.0
