delegation,superficie,nb_pieces,chambres,salle_de_bains,etage,gouvernorat_ariana,gouvernorat_ben-arous,gouvernorat_la-manouba,gouvernorat_tunis,prix
21.0,136.0,3.0,2,2,1,0.0,0.0,0.0,1.0,580000.0
21.0,300.0,3.0,2,2,1,0.0,0.0,0.0,1.0,560000.0
21.0,64.0,2.0,1,1,1,0.0,0.0,0.0,1.0,232000.0
21.0,66.0,2.0,1,1,1,0.0,0.0,0.0,1.0,231000.0
21.0,160.0,4.0,3,3,1,0.0,0.0,0.0,1.0,550000.0
21.0,50.0,2.0,1,1,1,0.0,0.0,0.0,1.0,370000.0
21.0,53.0,2.0,1,1,1,0.0,0.0,0.0,1.0,240000.0
9.0,124.0,3.0,2,2,1,0.0,0.0,0.0,1.0,420000.0
33.0,162.0,4.0,3,2,1,0.0,0.0,0.0,1.0,825000.0
33.0,101.0,3.0,2,1,1,0.0,0.0,0.0,1.0,558000.0
33.0,103.0,3.0,2,1,1,0.0,0.0,0.0,1.0,572000.0
62.0,300.0,4.0,3,2,1,0.0,0.0,0.0,1.0,1560000.0
21.0,182.0,4.0,3,3,1,0.0,0.0,0.0,1.0,970000.0
49.0,90.0,3.0,3,1,3,0.0,0.0,0.0,1.0,320000.0
21.0,85.0,2.0,2,1,1,0.0,0.0,0.0,1.0,313000.0
57.0,166.0,4.0,3,2,1,0.0,0.0,0.0,1.0,400000.0
33.0,120.0,3.0,2,2,1,0.0,0.0,0.0,1.0,600000.0
29.0,198.0,4.0,3,2,1,0.0,0.0,0.0,1.0,750000.0
9.0,89.0,3.0,2,1,1,0.0,0.0,0.0,1.0,338950.0
33.0,118.0,3.0,2,2,1,0.0,0.0,0.0,1.0,547000.0
9.0,116.0,3.0,2,1,1,0.0,0.0,0.0,1.0,345000.0
21.0,70.0,1.0,1,1,1,0.0,0.0,0.0,1.0,260000.0
33.0,134.0,4.0,3,2,1,0.0,0.0,0.0,1.0,459000.0
33.0,175.0,4.0,3,3,1,0.0,0.0,0.0,1.0,975000.0
9.0,75.0,2.0,1,1,1,0.0,0.0,0.0,1.0,250000.0
33.0,82.0,2.0,3,1,1,0.0,0.0,0.0,1.0,450000.0
